(Parent) ASIN,(Child) ASIN,Title,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0DSGJXNKS,B0DSGJXNKS,Ambient Mixed Topped Muffins - 16 x 105gm (BBE 01/12/25),258,18,0.03%,0.07%,316,23,0.03%,0.06%,96.30%,100.00%,17,8,6.59%,44.44%,£342.40,£159.92,15,6
B0F38KSDPY,B0F38KSDPY,KTC Crispy Fried Onions 6 x 400g – Original Branded Case Box of 6 Packs,65,5,0.01%,0.02%,95,7,0.01%,0.02%,76.19%,57.14%,21,0,32.31%,0.00%,£400.47,£0.00,15,0
B0FD4534J5,B0FD4534J5,"OSCAR Chicken Liquid Concentrate 1 L – Premium Stock Base for Soups, Sauces, Gravies & Cooking",41,0,0.01%,0.00%,55,0,0.01%,0.00%,94.34%,0.00%,18,5,43.90%,0.00%,£354.24,£98.40,15,2
B004J8G8UK,B004J8G8UK,"Knorr Gluten Free Chicken Paste Bouillon, 1 kg",132,3,0.02%,0.01%,166,3,0.02%,0.01%,88.00%,100.00%,21,5,15.91%,166.67%,£707.17,£175.00,14,1
B07T925GN6,B004Y18G8E,French coarse sea salt from Guerande Le Guerandais-gros sel de Guerande - 1000 gr,105,4,0.01%,0.01%,157,11,0.02%,0.03%,95.17%,100.00%,20,0,19.05%,0.00%,£149.33,£0.00,14,0
B0057DCOEK,B0057DCOEK,Oxo Vegetable Stock Cubes x 60 384g,69,2,0.01%,0.01%,88,2,0.01%,0.01%,66.67%,0.00%,14,0,20.29%,0.00%,£180.32,£0.00,14,0
B00BD5Y43K,B00BD5Y43K,Sottaceti Rizzi Borettane Onions in Balsamic Vinegar Tin - 2.5kg,144,6,0.02%,0.02%,194,9,0.02%,0.02%,30.22%,62.50%,15,1,10.42%,16.67%,£273.66,£18.36,14,1
B00BEVBS50,B00BEVBS50,Valrhona Cocoa Powder 250 gm,70,0,0.01%,0.00%,88,0,0.01%,0.00%,80.00%,0.00%,15,0,21.43%,0.00%,£242.85,£0.00,14,0
B00IORZ7JU,B00IORZ7JU,Bovril Beef Flavoured Drink 2 x 450g Catering Tub Granules 180 Servings BRITISH FOOD SHOP (BFSBOV2),130,4,0.02%,0.01%,156,4,0.02%,0.01%,91.72%,100.00%,14,1,10.77%,25.00%,£413.28,£29.52,14,1
B00V6HL802,B00V6HL802,(4 PACK) - Bottle Green - Ginger & Lemongrass Cordial | 500ml | 4 PACK BUNDLE,107,7,0.01%,0.03%,128,9,0.01%,0.02%,92.37%,100.00%,14,0,13.08%,0.00%,£303.09,£0.00,14,0
B0CFF17XVL,B019U61KO4,"Taylors of Harrogate Blackberry and Raspberry Tea, 20 Individually Wrapped & Tagged Tea Bags (- Pack of 3, 60 Tea Bags in Total)",114,1,0.02%,0.00%,143,2,0.01%,0.01%,93.65%,100.00%,14,1,12.28%,100.00%,£167.01,£11.81,14,1
B01EX18NLO,B01EX18NLO,( 3kg Pack ) Batchelors Chip Shop Style Mushy Peas 3kg,72,2,0.01%,0.01%,87,2,0.01%,0.01%,96.30%,100.00%,29,6,40.28%,300.00%,£328.97,£68.10,14,2
B076JJRGLT,B076JJRGLT,Folkingtons Orange Juice - 12x250ml,25,3,0.00%,0.01%,28,3,0.00%,0.01%,92.59%,0.00%,17,0,68.00%,0.00%,£451.22,£0.00,14,0
B077BT67GY,B077BT67GY,Essential Cuisine Premier Red Wine Jus - 1x1.2kg,219,2,0.03%,0.01%,271,2,0.03%,0.01%,94.42%,100.00%,15,2,6.85%,100.00%,£576.90,£76.92,14,1
B07R8L3QSS,B07R8L3QSS,Premium Vegan Mayo - Mayonnaise Squeezy 1 Litre Bottle,173,4,0.02%,0.01%,216,4,0.02%,0.01%,20.49%,25.00%,17,0,9.83%,0.00%,£149.60,£0.00,14,0
B09J5CNBYK,B09J5CNBYK,"Merchant Gourmet Whole Cooked Chestnuts - Naturally Sweet, Nutty Flavour, Source of Fibre, Low Fat & Vegan - Ideal for Snacking & Baking - Pack of 10 x 500g Ready-to-eat Pouches",120,9,0.02%,0.03%,168,9,0.02%,0.02%,95.97%,100.00%,15,0,12.50%,0.00%,£606.56,£0.00,14,0
B0CD7WJGVM,B0CD7WHNNJ,"Crusha Milk Shake Syrup 1ltr (Chocolate, 1)",71,1,0.01%,0.00%,90,1,0.01%,0.00%,98.70%,0.00%,14,0,19.72%,0.00%,£136.31,£0.00,14,0
B0CV7Z6WJX,B0CV7Z6WJX,Rude Health Gluten Free Oat Barista Drink 1ltr (Pack of 6),46,2,0.01%,0.01%,54,3,0.01%,0.01%,0.00%,0.00%,17,0,36.96%,0.00%,£283.79,£0.00,14,0
B0CWLM5T7R,B0CWLM5T7R,Elsinore Lumpfish Caviar 100gm (Pack of 6),34,1,0.00%,0.00%,43,1,0.00%,0.00%,90.48%,100.00%,14,2,41.18%,200.00%,£489.86,£69.98,14,2
B0DK26LVMM,B0DK26LVMM,Vignola - PAELLA Rice - 1kg,36,0,0.00%,0.00%,44,0,0.00%,0.00%,97.62%,0.00%,14,0,38.89%,0.00%,£108.64,£0.00,14,0
B0DRPP4WB6,B0DRPR31CJ,Bay Tree Marinated Miniature Figs (600gm),38,1,0.01%,0.00%,53,1,0.01%,0.00%,92.00%,0.00%,17,0,44.74%,0.00%,£230.35,£0.00,14,0
B0DSG1W7W6,B0DSG1W7W6,Mousline - Mash Potato Mix - 4kg,51,3,0.01%,0.01%,66,3,0.01%,0.01%,98.25%,100.00%,14,1,27.45%,33.33%,£514.95,£36.71,14,1
B0FBS2X2ZC,B0FBS2X2ZC,Penn State Sour Cream & Chive Pretzels – 33 x 30g | Baked Wheat & Potato Snacks | Vegetarian | Individually Wrapped,42,1,0.01%,0.00%,54,1,0.01%,0.00%,88.46%,100.00%,14,3,33.33%,300.00%,£402.78,£86.31,14,3
B00BOO74EQ,B00BOO74EQ,CaterWrap Catering Quality Baking Parchment 300mm x 50m,132,4,0.02%,0.01%,161,5,0.02%,0.01%,10.74%,75.00%,16,5,12.12%,125.00%,£167.55,£58.33,13,2
B01M7539CK,B00DX05G4Y,"CHEF Jus de Veau Lié Thickened Veal Jus, 900 g",194,5,0.03%,0.02%,246,5,0.03%,0.01%,37.05%,0.00%,16,0,8.25%,0.00%,£328.59,£0.00,13,0
B00Y2F46X6,B00Y2F46X6,Belazu Balsamic Pearls (55g) - Pack of 2,21,1,0.00%,0.00%,24,2,0.00%,0.01%,86.96%,100.00%,16,2,76.19%,200.00%,£277.60,£34.70,13,1
B016FQNAGI,B016FQNAGI,"MONIN Premium Pumpkin Spice Syrup 700ml for Coffees, Frappes and Cocktails. Vegan-Friendly, Allergen-Free, 100% Natural Flavours and Colourings. Perfect for Pumpkin Spice Lattes","2,263",50,0.30%,0.18%,"2,907",71,0.30%,0.19%,0.22%,0.00%,13,0,0.57%,0.00%,£181.64,£0.00,13,0
B08QDX4141,B01B2VQ84W,"Folkington's Ginger Beer, 12 Cans, Sparkling Soft Drink, Traditionally Hot, Great Gin Mixer, 12 x 250 ml",107,3,0.01%,0.01%,133,3,0.01%,0.01%,46.88%,0.00%,14,0,13.08%,0.00%,£227.34,£0.00,13,0
B0F62V6SP5,B01EE3SDYS,Doves Farm | Gluten Free White Bread Flour | 3 x 1kg,121,3,0.02%,0.01%,151,3,0.02%,0.01%,19.29%,50.00%,13,1,10.74%,33.33%,£159.66,£12.46,13,1
B01EX18LS4,B01EX18LS4,( 3kg Pack ) Batchelors Original Mushy Peas 3kg,66,1,0.01%,0.00%,93,1,0.01%,0.00%,91.67%,100.00%,33,0,50.00%,0.00%,£381.11,£0.00,13,0
B079H3G32D,B079H3G32D,"Saver Bundle Callebaut, 70% Dark Chocolate Chips (2 x 2.5kg Bundle)",125,5,0.02%,0.02%,171,7,0.02%,0.02%,83.44%,66.67%,24,2,19.20%,40.00%,"£2,096.47",£178.68,13,2
B0937G5SSG,B0937G5SSG,Lyle's Golden Syrup Maple Flavour 2.80kg,140,5,0.02%,0.02%,181,5,0.02%,0.01%,26.38%,0.00%,14,0,10.00%,0.00%,£179.62,£0.00,13,0
B09SHFV2XK,B09SHFV2XK,Centaur Champagne Vinegar 750ml,21,0,0.00%,0.00%,28,0,0.00%,0.00%,92.31%,0.00%,13,1,61.90%,0.00%,£125.45,£9.65,13,1
B0D45NPK7W,B0D45NPK7W,Fresher's Bundle - ORANGE & BLACKCURRANT Drink - 2 X 5ltr (No Added Sugar),56,8,0.01%,0.03%,69,9,0.01%,0.02%,100.00%,100.00%,21,15,37.50%,187.50%,£437.79,£313.59,13,8
B0D8TL2GTN,B0D8TL2GTN,Bottlegreen Plump Summer Raspberry Cordial 500ml,80,3,0.01%,0.01%,93,3,0.01%,0.01%,98.84%,100.00%,26,2,32.50%,66.67%,£227.76,£17.52,13,2
B0D9HKL5LF,B0D9HJR1XT,McDougalls - Scone Mix - 3.5kg (1),45,0,0.01%,0.00%,62,0,0.01%,0.00%,81.82%,0.00%,13,0,28.89%,0.00%,£238.15,£0.00,13,0
B0DDTRT5CB,B0DDTSQC9X,Centaur - French Verjus De Perigord - 500ml (1 Bottle),43,5,0.01%,0.02%,50,6,0.01%,0.02%,100.00%,100.00%,18,7,41.86%,140.00%,£273.78,£106.47,13,3
B0025UIZXC,B0025UIZXC,"Manora Uncooked Shrimp Chips, 500 g",188,7,0.02%,0.03%,283,8,0.03%,0.02%,16.40%,33.33%,16,0,8.51%,0.00%,£145.28,£0.00,12,0
B00BLTNL4Q,B00BLTNL4Q,Cacao Barry Amber Cocoa Powder Extra Brute 1kg,"2,140",51,0.28%,0.19%,"2,873",73,0.29%,0.20%,4.09%,2.86%,14,0,0.65%,0.00%,£334.30,£0.00,12,0
B00M46V7SM,B00M46V7SM,Global Harvest Wild Fennel Pollen Spice 28 g,32,2,0.00%,0.01%,44,2,0.00%,0.01%,95.12%,100.00%,14,3,43.75%,150.00%,£354.20,£75.90,12,3
B077B647JD,B077B647JD,Country Range Strawberry Jam Portions - 1x100x20g,127,12,0.02%,0.04%,159,13,0.02%,0.04%,21.19%,25.00%,18,4,14.17%,33.33%,£260.46,£57.88,12,3
B07H72NZBZ,B07H72NZBZ,Pom Bear Crisps Original Bag 19g x 36,19,1,0.00%,0.00%,23,1,0.00%,0.00%,100.00%,100.00%,12,0,63.16%,0.00%,£278.46,£0.00,12,0
B07W72PPPK,B07W72PPPK,"Veal Glace, 600g",28,0,0.00%,0.00%,41,0,0.00%,0.00%,97.22%,0.00%,13,1,46.43%,0.00%,£443.12,£33.38,12,1
B08FRQKBDB,B08FRQKBDB,Triple Lion Haricot Beans - 1x3kg,50,0,0.01%,0.00%,70,0,0.01%,0.00%,36.36%,0.00%,13,0,26.00%,0.00%,£173.42,£0.00,12,0
B08TMMR32J,B08TMMR32J,Caperberries in Brine 1.58KG Lefktro,64,3,0.01%,0.01%,81,3,0.01%,0.01%,97.44%,100.00%,13,1,20.31%,33.33%,£189.35,£14.99,12,1
B094Y2WTTP,B094Y2WTTP,"Grandma Wilds Biscuits | Individually Wrapped Mixed Flavours x 100 Packs Of 2 Biscuits - Perfect For Meeting Rooms, Hotel Bedrooms, Hairdressers & More",144,13,0.02%,0.05%,169,16,0.02%,0.04%,32.08%,37.50%,20,12,13.89%,92.31%,£622.70,£374.97,12,4
B0B9FZK2GX,B09T3D914S,Bisto Gravy Granules 1.9kg,37,2,0.00%,0.01%,53,3,0.01%,0.01%,64.29%,66.67%,12,0,32.43%,0.00%,£225.84,£0.00,12,0
B0B99329X1,B0B99329X1,Parkers Kerrymaid UHT Double Cream 12 x 1 Litre,130,7,0.02%,0.03%,162,8,0.02%,0.02%,92.62%,100.00%,15,2,11.54%,28.57%,£723.00,£96.58,12,1
B0BWYXP7Z9,B0BWYXP7Z9,Chef William Sage & Onion Stuffing 3kg,25,2,0.00%,0.01%,31,2,0.00%,0.01%,96.55%,100.00%,12,1,48.00%,50.00%,£152.16,£12.68,12,1
B0C4FGTNRB,B0C4FGTNRB,Roquito® Sliced Sweet Chilli Peppers – 3kg,39,2,0.01%,0.01%,48,2,0.00%,0.01%,91.30%,100.00%,17,3,43.59%,150.00%,£232.56,£41.04,12,2
B0C6B56HQ6,B0C6B56HQ6,Forvm Cabernet Sauvignon Balsamic-Style Vinegar – 500 ml – Solera-Aged Spanish Red Wine Vinegar (8 Years),44,1,0.01%,0.00%,57,1,0.01%,0.00%,92.00%,100.00%,17,7,38.64%,700.00%,£299.60,£120.91,12,2
B0CLM75717,B0CLM6HW9S,"Buchanan Dried Fruits (CHOPPED Dates 3kg, Pack of 1)",33,1,0.00%,0.00%,37,1,0.00%,0.00%,97.14%,100.00%,13,1,39.39%,100.00%,£174.46,£13.42,12,1
B0CP9QLBRW,B0CP9QLBRW,Leblanc Grapeseed Oil 1ltr,40,1,0.01%,0.00%,53,1,0.01%,0.00%,98.00%,100.00%,19,0,47.50%,0.00%,£386.65,£0.00,12,0
B0DQ1BG9JQ,B0DQ1BG9JQ,"Luxury Alexander Brass Mill Salt and Pepper Grinders, 20.32 cm, Set of 2",698,7,0.09%,0.03%,910,9,0.09%,0.02%,88.81%,100.00%,12,0,1.72%,0.00%,"£1,439.76",£0.00,12,0
B0DXL8V4R1,B0DTV3Q76H,Jersey Dairy Jersey Dairy Luxury Dairy Ice Cream Mix x 1 Litre,458,13,0.06%,0.05%,608,17,0.06%,0.05%,23.93%,37.50%,13,0,2.84%,0.00%,£113.26,£0.00,12,0
B0DWV3C8JC,B0DWV3C8JC,The Bay Tree Spicy Tomato & Onion Chutney 3kg,53,1,0.01%,0.00%,64,1,0.01%,0.00%,100.00%,100.00%,12,1,22.64%,100.00%,£349.56,£29.13,12,1
B006ZYANKW,B006ZYANKW,Burts Potato Chips Sea Salted 150 g (Pack of 10),13,4,0.00%,0.01%,16,5,0.00%,0.01%,100.00%,100.00%,11,3,84.62%,75.00%,£208.56,£56.88,11,3
B07TLDK9XJ,B008SAUDEM,"Yutaka Wasabi Peas 2kg | Authentic Japanese Style Snack | Spicy & Crunchy | Perfect for Parties, Beer, Wine & Vegan-Friendly Snacking",436,13,0.06%,0.05%,573,16,0.06%,0.04%,10.02%,6.67%,12,1,2.75%,7.69%,£232.56,£19.38,11,1
B0104R0FRG,B0104R0FRG,Dijona French Dijon Mustard 5kg Box Tub Authentic Chefs Quality Catering Size (Product of France),35,4,0.00%,0.01%,47,4,0.00%,0.01%,77.27%,100.00%,20,15,57.14%,375.00%,£442.60,£331.95,11,6
B011LP0QQU,B011LP0QQU,Golden Swan Water Chestnuts Whole in Water 227g,38,1,0.01%,0.00%,52,2,0.01%,0.01%,95.65%,100.00%,14,0,36.84%,0.00%,£80.92,£0.00,11,0
B01B6G5D58,B01B6G5D58,"Callebaut, Milk, Dark & White chocolate chips (3 x 1kg Bundle)",551,13,0.07%,0.05%,788,17,0.08%,0.05%,14.37%,10.00%,11,0,2.00%,0.00%,£641.17,£0.00,11,0
B01H790ODE,B01H790ODE,Merchant Gourmet Chestnut Puree - 200g (4 x 200g),36,2,0.00%,0.01%,49,3,0.01%,0.01%,82.22%,100.00%,12,0,33.33%,0.00%,£115.08,£0.00,11,0
B07HN9CWS4,B07HN9CWS4,Essential Cuisine Chicken Glace - 1x600g,116,0,0.02%,0.00%,136,0,0.01%,0.00%,23.48%,0.00%,11,0,9.48%,0.00%,£324.04,£0.00,11,0
B07MLR6YVM,B07MLR6YVM,Callebaut - Callebaut Milk Chocolate Baking Chunks 2.5kg,197,4,0.03%,0.01%,248,4,0.03%,0.01%,83.19%,66.67%,11,0,5.58%,0.00%,£514.68,£0.00,11,0
B08DVX85DV,B08B8RZX4C,"Alpen No Added Sugar Muesli, Breakfast, High in Fibre, Vegetarian, Low Sugar, (Pack of 30) 45g",272,4,0.04%,0.01%,317,5,0.03%,0.01%,63.00%,66.67%,11,1,4.04%,25.00%,£186.02,£16.98,11,1
B0FGYBZRPX,B0FGYBZRPX,"Lion Buttermilk Ranch Dressing 2.27 L – Creamy Buttermilk & Garlic, Big Tub for Catering & Events",75,5,0.01%,0.02%,84,8,0.01%,0.02%,96.25%,100.00%,15,1,20.00%,20.00%,£242.25,£16.15,11,1
B0FL3JT1QP,B0FL3JT1QP,"Callebaut Power Dark Chocolate Callets – 80% Cocoa – 2.5 kg Bag – Premium Belgian Couverture “Power 80” for Baking, Ganache & Moulding",144,3,0.02%,0.01%,190,4,0.02%,0.01%,93.82%,50.00%,11,0,7.64%,0.00%,£597.63,£0.00,11,0
B0FNN92VHR,B0FNN92VHR,Monin Rhubarb Syrup,32,0,0.00%,0.00%,36,0,0.00%,0.00%,80.56%,0.00%,11,0,34.38%,0.00%,£158.77,£0.00,11,0
B0FQPTGBL1,B0FQPTGBL1,"Burts Sea Salted Crisps – 10 x 150g Large Sharing Bags, Hand-Cooked British Potato Chips",66,5,0.01%,0.02%,77,6,0.01%,0.02%,98.65%,100.00%,15,3,22.73%,60.00%,£299.85,£59.97,11,2
B00348MFQW,B00348MFQW,Fattoria Estense Balsamic Vinegar Gold Label (1 X 8.5 OZ) by Fattoria Estense,23,0,0.00%,0.00%,29,0,0.00%,0.00%,92.86%,0.00%,13,0,56.52%,0.00%,£274.92,£0.00,10,0
B003XNHP40,B003XNHP40,"Doves Farm Gluten Free White Bread Flour, 1kg",260,3,0.03%,0.01%,337,4,0.03%,0.01%,0.32%,0.00%,10,0,3.85%,0.00%,£67.16,£0.00,10,0
B004TEZJ5O,B004TEZJ5O,"Eager Tomato Juice 100% Pressed, Refreshing Fruit Drink, NFC Not From Concentrate, 1 Litre (Pack of 8)",298,5,0.04%,0.02%,384,8,0.04%,0.02%,12.36%,0.00%,11,0,3.69%,0.00%,£321.20,£0.00,10,0
B008RB8V8C,B008RB8V8C,Maldon | Sea Salt - Flaky Crystals | 3 X 250G,43,2,0.01%,0.01%,48,2,0.00%,0.01%,80.00%,0.00%,10,0,23.26%,0.00%,£126.90,£0.00,10,0
B00DI7R7SU,B00DI7R7SU,capote capers in vinegar 9-11mm 1kg drained weight,42,1,0.01%,0.00%,50,1,0.01%,0.00%,100.00%,0.00%,15,2,35.71%,200.00%,£198.42,£26.36,10,2
B0BZ7W4Z98,B00Z9X01Q6,Tate & Lyle Caster Sugar - 6x2kg,36,1,0.00%,0.00%,46,1,0.00%,0.00%,32.56%,100.00%,10,6,27.78%,600.00%,£246.00,£147.60,10,6
B010E0R4FO,B010E0R4FO,Lea Perrins Worcester Sauce 2Ltr,73,4,0.01%,0.01%,92,4,0.01%,0.01%,59.30%,100.00%,10,1,13.70%,25.00%,£230.50,£23.05,10,1
B015Y1GHLU,B015Y1GHLU,Merchant Gourmet Chef's Dried Mixed Mushrooms 400g,180,3,0.02%,0.01%,245,4,0.03%,0.01%,18.64%,0.00%,10,0,5.56%,0.00%,£195.00,£0.00,10,0
B01B7GJWHW,B01B7GJWHW,Tate and Lyle Fairtrade Demerara Sugar 25 kg,47,3,0.01%,0.01%,65,5,0.01%,0.01%,85.25%,100.00%,12,3,25.53%,100.00%,£487.20,£121.80,10,2
B01BNJ7OEQ,B01BNJ7OEQ,Tate and Lyle Caster Sugar 25 kg,49,4,0.01%,0.01%,59,5,0.01%,0.01%,80.36%,50.00%,10,0,20.41%,0.00%,£334.90,£0.00,10,0
B07H1HW13V,B07H1HW13V,Puro Balsamic Glaze 500ml,29,0,0.00%,0.00%,32,0,0.00%,0.00%,96.88%,0.00%,10,0,34.48%,0.00%,£76.80,£0.00,10,0
B07SWQDHX3,B07SWQDHX3,"Monin Honeycomb Coffee & Cocktail Syrup Plastic Bottle 1 Litre (1 Bottle, No Pumps)",23,0,0.00%,0.00%,26,0,0.00%,0.00%,92.00%,0.00%,12,0,52.17%,0.00%,£192.39,£0.00,10,0
B08ZYYSQ24,B08ZYYSQ24,Centaur Gluten Free Japanese Style Tempura Batter Mix 1kg,38,2,0.01%,0.01%,43,4,0.00%,0.01%,100.00%,100.00%,17,7,44.74%,350.00%,£137.36,£56.56,10,3
B0B8DK6GFB,B0B8DLRH3X,Mona Lisa Dark Chocolate Shavings 2.5kg,11,0,0.00%,0.00%,20,0,0.00%,0.00%,94.74%,0.00%,16,9,145.45%,0.00%,£705.76,£396.99,10,3
B0BT4YW6RZ,B0BT4YW6RZ,Menz & Gasser Marmalade 100 x 20g_AB,35,1,0.00%,0.00%,52,1,0.01%,0.00%,95.35%,100.00%,10,1,28.57%,100.00%,£137.30,£13.73,10,1
B0C1VN7RXK,B0C1VN7RXK,"Panna Cotta 1L Macphie Simply heat, chill & serve",73,0,0.01%,0.00%,92,0,0.01%,0.00%,95.18%,0.00%,15,0,20.55%,0.00%,£174.31,£0.00,10,0
B0CCPPX8N1,B0CCPQ9FK2,Whirl Butter Substitute 4ltr,76,3,0.01%,0.01%,101,3,0.01%,0.01%,96.59%,0.00%,12,0,15.79%,0.00%,£279.74,£0.00,10,0
B0CW3NMR7N,B0CW3NMR7N,Seasoners Traditional Pickled Onions 2.25kg (Pack of 2),35,0,0.00%,0.00%,50,0,0.01%,0.00%,95.56%,0.00%,10,0,28.57%,0.00%,£219.90,£0.00,10,0
B0CXQ5TT62,B0CXQ5TT62,Triple Lion - Plain Uncooked Poppadoms - 1kg (Pack of 3),44,3,0.01%,0.01%,61,3,0.01%,0.01%,100.00%,100.00%,10,1,22.73%,33.33%,£247.50,£24.75,10,1
B0D5D7ZHMC,B0D5DCC2RZ,"Firefly Kiwi, Lime & Mint 12 × 330 ml – Still Fruit Juice Drink with Botanical Extracts – Vegan & Vegetarian, United Kingdom",63,4,0.01%,0.01%,74,4,0.01%,0.01%,92.65%,100.00%,10,0,15.87%,0.00%,£243.85,£0.00,10,0
B0D92QTWJ8,B0D92Q4179,"Jersey Dairy Luxury Soft Ice Cream & Thickshake Mix – 1 L Cartons (Pack of 6), Creamy Premium Ice Cream Base",69,2,0.01%,0.01%,93,2,0.01%,0.01%,97.50%,100.00%,11,2,15.94%,100.00%,£340.25,£61.98,10,1
B0D96DMTZ6,B0D96DMTZ6,Lee Kum Kee Premium 500ml | 2x Dark Soy Sauce | Dark Cooking Soy Sauce 500ml,185,4,0.02%,0.01%,238,7,0.02%,0.02%,9.35%,0.00%,10,0,5.41%,0.00%,£100.04,£0.00,10,0
B0DFHDD923,B0DFHDD923,Tate and Lyle - LIGHT Muscovado Sugar - 500gm - (Pack of 3),18,1,0.00%,0.00%,22,1,0.00%,0.00%,95.24%,0.00%,10,0,55.56%,0.00%,£87.20,£0.00,10,0
B0DFHLHT1M,B0DFHLHT1M,"Parkers Foodservice Robert Scott - Microfibre Cloth Bundle - PINK, GREEN, BLUE - 3 x 10 x 40cm x 40cm",56,4,0.01%,0.01%,104,14,0.01%,0.04%,97.30%,100.00%,20,3,35.71%,75.00%,£346.23,£54.85,10,2
B0FHHZMD6N,B0FHHZMD6N,"Snickers Caramel Peanut Chocolate Bars 50g - Pack of 24 (1 Box) | Delicious Chocolate, Caramel & Peanuts | Ideal Snack for Energy & Indulgence",318,9,0.04%,0.03%,384,9,0.04%,0.02%,27.76%,0.00%,11,0,3.46%,0.00%,£203.39,£0.00,10,0
B0FHKWHHR6,B0FHKWHHR6,Callebaut Milk & White Chocolate Callets – 2 × 2.5 kg Bulk Baking Bags,44,1,0.01%,0.00%,58,1,0.01%,0.00%,85.71%,100.00%,10,0,22.73%,0.00%,£847.85,£0.00,10,0
B0FL3BL1C5,B0FL3BL1C5,"Callebaut Velvet-Style White Chocolate Callets 34.6% – 2.5 kg Bag – Silky Creamy Belgian Chocolate for Moulding, Enrobing & Baking",66,2,0.01%,0.01%,84,2,0.01%,0.01%,97.53%,100.00%,10,0,15.15%,0.00%,£487.10,£0.00,10,0
B0FMFGVYX6,B0FMFGVYX6,Whole Italian Nocellara Del Belice Olives in Water 1.5kg,90,4,0.01%,0.01%,118,4,0.01%,0.01%,99.08%,100.00%,13,0,14.44%,0.00%,£181.88,£0.00,10,0
B0FNDF4143,B0FNDF4143,Chefs' Selections Dark Cherry Pie Filling & Fruit Topping 2.5kg,118,4,0.02%,0.01%,154,5,0.02%,0.01%,71.53%,75.00%,10,0,8.47%,0.00%,£184.90,£0.00,10,0
B0FNDLZK6W,B0FNDLZK6W,Chefs' Selections Red Cherry Pie Filling & Fruit Topping 2.5kg,140,2,0.02%,0.01%,171,4,0.02%,0.01%,48.47%,100.00%,10,0,7.14%,0.00%,£179.90,£0.00,10,0
B0FNNCVPG4,B0FNNCVPG4,"Mousline Mashed Potato Mix 4kg – Instant Creamy Potato Flakes, GMO Free, Vegetarian, Halal & Kosher, Made from Selected Potatoes",68,3,0.01%,0.01%,77,3,0.01%,0.01%,93.24%,100.00%,10,1,14.71%,33.33%,£369.12,£37.72,10,1
B005TG9OJI,B005TG9OJI,Pom-Bear Original (Box of 36 x 19g Bags),139,9,0.02%,0.03%,169,9,0.02%,0.02%,8.48%,0.00%,9,0,6.47%,0.00%,£220.89,£0.00,9,0
B0CF8BK9N9,B009T90HV0,Bovril Beef Flavoured Drink - 450gm,"2,182",37,0.29%,0.14%,"2,781",47,0.28%,0.13%,1.73%,0.00%,9,0,0.41%,0.00%,£151.83,£0.00,9,0
B00L4A7K2Q,B00L4A7K2Q,Buchanans Raisins 3kg,6,0,0.00%,0.00%,6,0,0.00%,0.00%,83.33%,0.00%,9,1,150.00%,0.00%,£158.94,£17.66,9,1
B00M46V88Q,B00M46V88Q,Global Harvest Wild Fennel Pollen Spice 5 g,38,3,0.01%,0.01%,44,3,0.00%,0.01%,100.00%,100.00%,9,1,23.68%,33.33%,£89.10,£9.90,9,1
B0BVYQLPKZ,B00OD0RAMY,Horlicks Original Malt 2g,118,3,0.02%,0.01%,154,5,0.02%,0.01%,73.43%,100.00%,9,1,7.63%,33.33%,£179.01,£19.89,9,1
B077BB7933,B077BB7933,Opies Raspberry Compote - 1x1.2kg,42,3,0.01%,0.01%,54,5,0.01%,0.01%,92.00%,100.00%,10,0,23.81%,0.00%,£174.60,£0.00,9,0
B078ZYS55Y,B078ZYS55Y,Taylors of Harrogate | Naturally Caffeine Free Lemon & Ginger Infusion - 6 x 20 Tea Bags (240 Gr),32,7,0.00%,0.03%,52,7,0.01%,0.02%,81.82%,100.00%,9,3,28.13%,42.86%,£179.82,£59.94,9,3
B07K1GTY89,B07K1CPB4V,Whitakers Mints 1Kg (Mint Crisps 1kg),63,0,0.01%,0.00%,86,0,0.01%,0.00%,92.59%,0.00%,10,0,15.87%,0.00%,£218.28,£0.00,9,0
B07N88YRJT,B07N88YRJT,Essential Cuisine - Premier Jus - Veal Jus (Concentrated Base) 1kg,312,12,0.04%,0.04%,398,19,0.04%,0.05%,6.04%,0.00%,11,4,3.53%,33.33%,£355.30,£127.88,9,2
B08TMSP48Z,B08TMSP48Z,Lefktro Cornichons in Vinegar 2.05kg – Pickled Gherkins with Mustard Seeds & Dill – Large Catering Jar,114,4,0.02%,0.01%,139,5,0.01%,0.01%,99.25%,100.00%,9,1,7.89%,25.00%,£126.81,£14.09,9,1
B09BG6J3JR,B09BG6J3JR,"Elsinore - Cockles in Vinegar, Ready to Eat, 200g (Pack of 6)",74,1,0.01%,0.00%,83,1,0.01%,0.00%,87.65%,100.00%,12,0,16.22%,0.00%,£262.18,£0.00,9,0
B0BDS1J64S,B0BDS1J64S,"Parkers Katsuobushi Dried Bonito Flakes, 500g, Cream",45,2,0.01%,0.01%,54,2,0.01%,0.01%,95.92%,100.00%,10,2,22.22%,100.00%,£399.90,£79.98,9,2
